"geo","gdp_pps_pct","unemp_rate","educ_tertiary","rnd_gdp_pct","hitech_emp_pct","broadband_pct","country","region","dev_class"
"AT11",85,5.15,31.3666666666667,0.84,2.8,94.185,"AT","Burgenland","transizione"
"AT12",100,6.84166666666667,33.9,1.78,4.1,93.215,"AT","Nieder""osterreich","transizione"
"AT13",143,14.15,44.4666666666667,4.04,7.9,94.34,"AT","Wien","piu_sviluppata"
"AT21",107,6.1125,33.6,2.98,5.3,93.245,"AT","K""arnten","piu_sviluppata"
"AT22",111,5.48333333333333,30.2333333333333,5.17,3.6,92.43,"AT","Steiermark","piu_sviluppata"
"AT31",126,4.72727272727273,30.4666666666667,3.58,3.4,92.955,"AT","Ober""osterreich","piu_sviluppata"
"AT32",140,5.4,33.6,1.75,2.8,93.91,"AT","Salzburg","piu_sviluppata"
"AT33",118,5.1375,31.4333333333333,3.21,3.8,92.22,"AT","Tirol","piu_sviluppata"
"AT34",137,4.075,28.6333333333333,1.86,3,95.135,"AT","Vorarlberg","piu_sviluppata"
"BE10",194,15.4416666666667,52.2,2.49,7.6,96.5,"BE","R'egion de Bruxelles-Capitale","piu_sviluppata"
"BE21",137,5.99166666666667,43.5333333333333,NA,5.9,96.36,"BE","Prov. Antwerpen","piu_sviluppata"
"BE22",94,3.8625,39.2333333333333,NA,4.6,96.465,"BE","Prov. Limburg (BE)","transizione"
"BE23",110,3.84166666666667,50,NA,5.8,96.27,"BE","Prov. Oost-Vlaanderen","piu_sviluppata"
"BE24",128,5.06363636363636,53.1666666666667,NA,7.5,98.055,"BE","Prov. Vlaams-Brabant","piu_sviluppata"
"BE25",114,4.58333333333333,39.5,NA,3.3,96.42,"BE","Prov. West-Vlaanderen","piu_sviluppata"
"BE31",141,7.68,59.6333333333333,NA,9.9,97.905,"BE","Prov. Brabant wallon","piu_sviluppata"
"BE32",72,11.575,33.4666666666667,NA,5.1,94.085,"BE","Prov. Hainaut","meno_sviluppata"
"BE33",85,11.4333333333333,42.3666666666667,NA,4.4,95.6,"BE","Prov. Li`ege","transizione"
"BE34",73,6.3,44.6333333333333,NA,4.3,93.35,"BE","Prov. Luxembourg (BE)","meno_sviluppata"
"BE35",79,9.15454545454545,42.7666666666667,NA,6.3,92.59,"BE","Prov. Namur","transizione"
"BG31",39,18.8777777777778,19.9,0.36,1.6,86.75,"BG","Severozapaden","meno_sviluppata"
"BG32",41,10.875,26.6,0.31,2.7,91.335,"BG","Severen tsentralen","meno_sviluppata"
"BG33",47,9.05555555555556,25.9666666666667,0.35,1.5,92.615,"BG","Severoiztochen","meno_sviluppata"
"BG34",46,8.4,22.7333333333333,0.28,1.1,90.865,"BG","Yugoiztochen","meno_sviluppata"
"BG41",97,5.23333333333333,43.1,1.18,8.9,93.115,"BG","Yugozapaden","transizione"
"BG42",39,5.23,22.6,0.46,3.2,92.765,"BG","Yuzhen tsentralen","meno_sviluppata"
"CY00",91,7.375,46.9333333333333,0.83,3.9,96.705,"CY","K'ypros","transizione"
"CZ01",206,3.77272727272727,49.8,2.83,13.2,97.08,"CZ","Praha","piu_sviluppata"
"CZ02",83,4.24166666666667,25.6,2.28,5.7,94.655,"CZ","Stredn'i Cechy","transizione"
"CZ03",77,4.06666666666667,21.6,1.57,3.9,96.11,"CZ","Jihoz'apad","transizione"
"CZ04",61,6.52727272727273,15.1,0.38,2.9,93.015,"CZ","Severoz'apad","meno_sviluppata"
"CZ05",74,4.54166666666667,20.9333333333333,1.38,4.3,93.66,"CZ","Severov'ychod","meno_sviluppata"
"CZ06",86,3.86666666666667,27.7666666666667,2.52,5.8,94.055,"CZ","Jihov'ychod","transizione"
"CZ07",73,4.45833333333333,24.5666666666667,1.58,3.9,93.97,"CZ","Stredn'i Morava","meno_sviluppata"
"CZ08",71,7.75,22.5666666666667,1.16,4.5,94.4,"CZ","Moravskoslezsko","meno_sviluppata"
"EE00",85,7.79166666666667,41.2333333333333,1.75,6.5,94.92,"EE","Eesti","transizione"
"ES11",78,12.0083333333333,41.3666666666667,1.1,3.2,96.51,"ES","Galicia","transizione"
"ES12",76,13.1583333333333,44.5666666666667,0.87,3.7,97.155,"ES","Principado de Asturias","transizione"
"ES13",79,11.9916666666667,43.5,0.96,2.3,97.505,"ES","Cantabria","transizione"
"ES21",107,12.1666666666667,55,2.32,4.7,97.765,"ES","Pa'is Vasco","piu_sviluppata"
"ES22",103,12.0083333333333,48.7333333333333,1.91,2.6,98.095,"ES","Comunidad Foral de Navarra","piu_sviluppata"
"ES23",89,12.2333333333333,40.0333333333333,0.75,1.8,97.475,"ES","La Rioja","transizione"
"ES24",95,10.9416666666667,40.5666666666667,1.02,2.5,98.15,"ES","Arag'on","transizione"
"ES30",116,12.8666666666667,49.6666666666667,1.93,8.2,98.77,"ES","Comunidad de Madrid","piu_sviluppata"
"ES41",82,12.2416666666667,39.3666666666667,1.37,2.5,97.8,"ES","Castilla y Le'on","transizione"
"ES42",70,16.075,31.3666666666667,0.8,2.1,97.215,"ES","Castilla-La Mancha","meno_sviluppata"
"ES43",66,19.7916666666667,29.2333333333333,0.74,2.8,97.275,"ES","Extremadura","meno_sviluppata"
"ES51",99,12.5166666666667,42.4666666666667,1.78,5.2,98.435,"ES","Catalu~na","transizione"
"ES52",75,16.7333333333333,38.2,1.2,2.8,98.41,"ES","Comunitat Valenciana","transizione"
"ES53",84,14.7,36.3,0.48,1.3,98.635,"ES","Illes Balears","transizione"
