"geo","country","region","dev_class","unemp_rate","educ_tertiary","rnd_gdp_pct","hitech_emp_pct","broadband_pct"
"NL12","NL","Friesland (NL)","transizione",4.65833333333333,33.6,1.25,51.71,98.455
"ES12","ES","Principado de Asturias","transizione",13.1583333333333,44.5666666666667,0.87,66.93,97.155
"ES41","ES","Castilla y Le'on","transizione",12.2416666666667,39.3666666666667,1.37,49.6,97.8
"ITI1","IT","Toscana","transizione",7.48333333333333,20.7333333333333,1.58,59.27,93.425
"IE04","IE","Northern and Western","piu_sviluppata",4.92,48.6666666666667,1.73,126.06,93.535
"ITH3","IT","Veneto","piu_sviluppata",5.34166666666667,19.7333333333333,1.27,70.45,93.92
"PT30","PT","Regi~ao Aut'onoma da Madeira","meno_sviluppata",7.7,24.5666666666667,0.46,77.24,91.7
"CZ04","CZ","Severoz'apad","meno_sviluppata",6.52727272727273,15.1,0.38,295.37,93.015
"ES30","ES","Comunidad de Madrid","piu_sviluppata",12.8666666666667,49.6666666666667,1.93,43.42,98.77
"FI1C","FI","Etel""a-Suomi","transizione",8.825,38.1333333333333,1.87,139.01,96.585
"ITF1","IT","Abruzzo","transizione",9.49166666666667,21.2,1.14,94.41,92.47
"HU31","HU","'Eszak-Magyarorsz'ag","meno_sviluppata",7.41,18.8333333333333,0.65,415.63,93.13
"FRK2","FR","Rh^one-Alpes","piu_sviluppata",8.34166666666667,44.5666666666667,3,35.55,91.58
"IE06","IE","Eastern and Midland","piu_sviluppata",7.46363636363636,56.4333333333333,1.3,101.98,96.605
"ITH5","IT","Emilia-Romagna","piu_sviluppata",5.675,23.2666666666667,2.16,66.05,95.435
"ITI3","IT","Marche","transizione",7.05833333333333,21.5333333333333,1,82.42,91.96
"RO31","RO","Sud-Muntenia","meno_sviluppata",10.3,13.9666666666667,0.27,287.45,92.585
"NL32","NL","Noord-Holland","piu_sviluppata",5.93076923076923,49.1333333333333,1.25,46.87,99.25
"CZ07","CZ","Stredn'i Morava","meno_sviluppata",4.45833333333333,24.5666666666667,1.58,232.85,93.97
"ITF4","IT","Puglia","meno_sviluppata",14.25,15.7666666666667,0.86,81.89,90.645
