"geo","region","dev_class"
"ITC1","Piemonte","transizione"
"ITC2","Valle d'Aosta","piu_sviluppata"
"ITC3","Liguria","transizione"
"ITC4","Lombardia","piu_sviluppata"
"ITF1","Abruzzo","transizione"
"ITF2","Molise","meno_sviluppata"
"ITF3","Campania","meno_sviluppata"
"ITF4","Puglia","meno_sviluppata"
"ITF5","Basilicata","meno_sviluppata"
"ITF6","Calabria","meno_sviluppata"
"ITG1","Sicilia","meno_sviluppata"
"ITG2","Sardegna","meno_sviluppata"
"ITH1","Provincia Autonoma di Bolzano","piu_sviluppata"
"ITH2","Provincia Autonoma di Trento","piu_sviluppata"
"ITH3","Veneto","piu_sviluppata"
"ITH4","Friuli-Venezia Giulia","piu_sviluppata"
"ITH5","Emilia-Romagna","piu_sviluppata"
"ITI1","Toscana","transizione"
"ITI2","Umbria","transizione"
"ITI3","Marche","transizione"
"ITI4","Lazio","piu_sviluppata"
