"K","cv_error"
1,0.353787878787879
2,0.465151515151515
3,0.353787878787879
4,0.414393939393939
5,0.362121212121212
6,0.345454545454545
7,0.390151515151515
8,0.354545454545455
9,0.388636363636364
10,0.389393939393939
11,0.422727272727273
12,0.403787878787879
13,0.387121212121212
14,0.431060606060606
15,0.396212121212121
16,0.413636363636364
17,0.422727272727273
18,0.396212121212121
19,0.422727272727273
20,0.413636363636364
21,0.431818181818182
22,0.396212121212121
23,0.396212121212121
24,0.387878787878788
25,0.395454545454545
